Scenario - 
Logfile written - 06/22/2013 13:14:11

Subject	Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index
evnka101_1passive	200	Sound	standard	2377436	0	2			0		other	0
evnka101_1passive	201	Sound	standard	2388955	0	1			0		other	0
evnka101_1passive	202	Sound	deviant	2401624	0	2			0		other	0
evnka101_1passive	203	Sound	standard	2413124	0	2			0		other	0
evnka101_1passive	204	Sound	standard	2424885	0	1			0		other	0
evnka101_1passive	205	Sound	standard	2436275	0	1			0		other	0
evnka101_1passive	206	Sound	standard	2447314	0	2			0		other	0
evnka101_1passive	207	Sound	standard	2458574	0	1			0		other	0
evnka101_1passive	208	Sound	standard	2471254	0	2			0		other	0
evnka101_1passive	209	Sound	deviant	2482664	0	1			0		other	0
evnka101_1passive	210	Sound	standard	2494034	0	2			0		other	0
evnka101_1passive	211	Sound	standard	2506314	0	2			0		other	0
evnka101_1passive	212	Sound	standard	2518434	0	2			0		other	0
evnka101_1passive	213	Sound	standard	2529734	0	2			0		other	0
evnka101_1passive	214	Sound	standard	2541234	0	2			0		other	0
evnka101_1passive	215	Sound	standard	2552424	0	2			0		other	0
evnka101_1passive	216	Sound	standard	2563494	0	2			0		other	0
evnka101_1passive	217	Sound	standard	2574594	0	1			0		other	0
evnka101_1passive	218	Sound	standard	2585683	0	1			0		other	0
evnka101_1passive	219	Sound	deviant	2597773	0	2			0		other	0
evnka101_1passive	220	Sound	standard	2608823	0	1			0		other	0
evnka101_1passive	221	Sound	standard	2620923	0	1			0		other	0
evnka101_1passive	222	Sound	standard	2633382	0	2			0		other	0
evnka101_1passive	223	Sound	deviant	2645982	0	1			0		other	0
evnka101_1passive	224	Sound	standard	2657222	0	1			0		other	0
evnka101_1passive	225	Sound	standard	2669922	0	2			0		other	0
evnka101_1passive	226	Sound	standard	2681571	0	2			0		other	0
evnka101_1passive	227	Sound	standard	2692931	0	1			0		other	0
evnka101_1passive	228	Sound	standard	2705231	0	1			0		other	0
evnka101_1passive	229	Sound	deviant	2716511	0	1			0		other	0
evnka101_1passive	230	Sound	standard	2727681	0	2			0		other	0
evnka101_1passive	231	Sound	standard	2739861	0	2			0		other	0
evnka101_1passive	232	Sound	standard	2752111	0	1			0		other	0
evnka101_1passive	233	Sound	standard	2763521	0	1			0		other	0
evnka101_1passive	234	Sound	standard	2774731	0	1			0		other	0
evnka101_1passive	235	Sound	standard	2787130	0	2			0		other	0
evnka101_1passive	236	Sound	standard	2798260	0	1			0		other	0
evnka101_1passive	237	Sound	deviant	2810820	0	2			0		other	0
evnka101_1passive	238	Sound	standard	2822540	0	2			0		other	0
evnka101_1passive	239	Sound	standard	2833550	0	2			0		other	0
